DCL
Create 创建
database 数据库
Alter 改变
Drop 删除
Truncate 清空
show 显示
table 表格
character 字符
DML
Select 挑选
Insert 插入
update 更新
Delete 删除
auto_increment 自动增长
primary 主要的
not 不
where 在哪里
exists 存在
int 整数
in 在..里
or 或者
username 用户名
password 密码
like 像
now 现在
if 如果
date 日期
acs 升序
desc 降序
distinct 有区别
limit 限制
having 所有
delete 删除
ifnull 如果为空
double 精度型
varchar 可变成字符
into 到..里
value 值
is 是
order 命令，排序
and 和
SYSDATE 系统时间
WEEK 周
SECOND 秒
MINUTE 分钟
HOUR 小时
DAY 天
MONTH 月
YEAR 年
DIFF 不同
CONCAT 拼接
UPPER 大写
LOWER 小写
SUBSTRING 截取字串
SUM 综合
AVG 平均
MAX 最大
MIN 最小
COUNT 数量
